 ISO3, Country, Year, Statistics,Temperature - (Celsius),
 AFG, Afghanistan,1952, Nov,5.03977,
 AFG, Afghanistan,1952, Dec,1.59314,
 AFG, Afghanistan,1953, Jan,1.50973,
 AFG, Afghanistan,1953, Feb,5.72058,
 AFG, Afghanistan,1953, Mar,8.10131,
 AFG, Afghanistan,1953, Apr,13.1068,
 AFG, Afghanistan,1953, May,18.4175,
 AFG, Afghanistan,1953, Jun,22.9572,
 AFG, Afghanistan,1953, Jul,25.7561,
 AFG, Afghanistan,1953, Aug,23.5825,
 AFG, Afghanistan,1953, Sep,19.0036,
 AFG, Afghanistan,1953, Oct,11.7262,
 AFG, Afghanistan,1953, Nov,6.31991,
 AFG, Afghanistan,1953, Dec,3.06346,
 AFG, Afghanistan,1954, Jan,0.42489,
 AFG, Afghanistan,1954, Feb,1.52272,
 AFG, Afghanistan,1954, Mar,6.27375,
 AFG, Afghanistan,1954, Apr,13.1461,
 AFG, Afghanistan,1954, May,18.6342,
 AFG, Afghanistan,1954, Jun,22.1899,
 AFG, Afghanistan,1954, Jul,24.5508,
 AFG, Afghanistan,1954, Aug,23.4269,
 AFG, Afghanistan,1954, Sep,18.9816,
 AFG, Afghanistan,1954, Oct,12.2325,
 AFG, Afghanistan,1954, Nov,6.1569,
 AFG, Afghanistan,1954, Dec,1.49886,
 AFG, Afghanistan,1955, Jan,0.91587,
 AFG, Afghanistan,1955, Feb,4.93537,
 AFG, Afghanistan,1955, Mar,8.69604,
 AFG, Afghanistan,1955, Apr,11.9379,
 AFG, Afghanistan,1955, May,16.4976,
 AFG, Afghanistan,1955, Jun,22.3723,
 AFG, Afghanistan,1955, Jul,25.3368,
 AFG, Afghanistan,1955, Aug,24.6083,
 AFG, Afghanistan,1955, Sep,19.5875,
 AFG, Afghanistan,1955, Oct,12.0782,
 AFG, Afghanistan,1955, Nov,8.12952,
 AFG, Afghanistan,1955, Dec,4.20679,
 AFG, Afghanistan,1956, Jan,0.03439,
 AFG, Afghanistan,1956, Feb,2.94631,
 AFG, Afghanistan,1956, Mar,6.85336,
 AFG, Afghanistan,1956, Apr,13.427,
 AFG, Afghanistan,1956, May,19.8369,
 AFG, Afghanistan,1956, Jun,21.9381,
 AFG, Afghanistan,1956, Jul,25.167,
 AFG, Afghanistan,1956, Aug,23.014,
 AFG, Afghanistan,1956, Sep,19.2898,
 AFG, Afghanistan,1956, Oct,12.2006,
 AFG, Afghanistan,1956, Nov,7.26875,
 AFG, Afghanistan,1956, Dec,1.45349,
 AFG, Afghanistan,1957, Jan,-2.0526,
 AFG, Afghanistan,1957, Feb,0.29742,
 AFG, Afghanistan,1957, Mar,7.3432,
 AFG, Afghanistan,1957, Apr,10.5389,
 AFG, Afghanistan,1957, May,16.4363,
 AFG, Afghanistan,1957, Jun,21.6587,
 AFG, Afghanistan,1957, Jul,24.1053,
 AFG, Afghanistan,1957, Aug,22.9702,
 AFG, Afghanistan,1957, Sep,17.8959,
 AFG, Afghanistan,1957, Oct,12.0346,
 AFG, Afghanistan,1957, Nov,5.82897,
 AFG, Afghanistan,1957, Dec,2.60023,
 AFG, Afghanistan,1958, Jan,3.05448,
 AFG, Afghanistan,1958, Feb,3.49518,
 AFG, Afghanistan,1958, Mar,9.46437,
 AFG, Afghanistan,1958, Apr,14.7135,
 AFG, Afghanistan,1958, May,16.7515,
 AFG, Afghanistan,1958, Jun,23.1458,
 AFG, Afghanistan,1958, Jul,25.629,
 AFG, Afghanistan,1958, Aug,23.4849,
 AFG, Afghanistan,1958, Sep,19.313,
 AFG, Afghanistan,1958, Oct,12.9238,
 AFG, Afghanistan,1958, Nov,4.38991,
 AFG, Afghanistan,1958, Dec,3.96764,
 AFG, Afghanistan,1959, Jan,0.11793,
 AFG, Afghanistan,1959, Feb,0.48854,
 AFG, Afghanistan,1959, Mar,7.41601,
 AFG, Afghanistan,1959, Apr,14.1225,
 AFG, Afghanistan,1959, May,17.5666,
 AFG, Afghanistan,1959, Jun,23.0619,
 AFG, Afghanistan,1959, Jul,24.2565,
 AFG, Afghanistan,1959, Aug,25.02,
 AFG, Afghanistan,1959, Sep,21.1999,
 AFG, Afghanistan,1959, Oct,14.2654,
 AFG, Afghanistan,1959, Nov,5.39484,
 AFG, Afghanistan,1959, Dec,0.02274,
 AFG, Afghanistan,1960, Jan,1.77321,
 AFG, Afghanistan,1960, Feb,5.73581,
 AFG, Afghanistan,1960, Mar,4.52724,
 AFG, Afghanistan,1960, Apr,10.9987,
 AFG, Afghanistan,1960, May,16.7012,
 AFG, Afghanistan,1960, Jun,23.4273,
 AFG, Afghanistan,1960, Jul,24.8712,
 AFG, Afghanistan,1960, Aug,24.1827,
 AFG, Afghanistan,1960, Sep,19.105,
 AFG, Afghanistan,1960, Oct,13.118,
 AFG, Afghanistan,1960, Nov,5.94564,
 AFG, Afghanistan,1960, Dec,1.12189,
 ALB, Albania,1931, Jan,3.43784,
 ALB, Albania,1931, Feb,3.36702,
 ALB, Albania,1931, Mar,5.20406,
 ALB, Albania,1931, Apr,8.3637,
 ALB, Albania,1931, May,15.5461,
 ALB, Albania,1931, Jun,19.7892,
 ALB, Albania,1931, Jul,22.505,
 ALB, Albania,1931, Aug,21.7078,
 ALB, Albania,1931, Sep,15.4492,
 ALB, Albania,1931, Oct,11.9691,
 ALB, Albania,1931, Nov,6.80867,
 ALB, Albania,1931, Dec,1.64475,
 ALB, Albania,1932, Jan,0.75249,
 ALB, Albania,1932, Feb,-1.4914,
 ALB, Albania,1932, Mar,3.29104,
 ALB, Albania,1932, Apr,9.63297,
 ALB, Albania,1932, May,14.7451,
 ALB, Albania,1932, Jun,17.5377,
 ALB, Albania,1932, Jul,21.9853,
 ALB, Albania,1932, Aug,21.8216,
 ALB, Albania,1932, Sep,20.154,
 ALB, Albania,1932, Oct,14.4646,
 ALB, Albania,1932, Nov,7.40113,
 ALB, Albania,1932, Dec,4.50918,
 ALB, Albania,1933, Jan,0.51586,
 ALB, Albania,1933, Feb,3.06161,
 ALB, Albania,1933, Mar,5.28445,
 ALB, Albania,1933, Apr,8.19171,
 ALB, Albania,1933, May,12.7007,
 ALB, Albania,1933, Jun,15.578,
 ALB, Albania,1933, Jul,19.9947,
 ALB, Albania,1933, Aug,20.4978,
 ALB, Albania,1933, Sep,15.7726,
 ALB, Albania,1933, Oct,12.8238,
 ALB, Albania,1933, Nov,9.21188,
 ALB, Albania,1933, Dec,0.81732,
 ALB, Albania,1934, Jan,1.59364,
 ALB, Albania,1934, Feb,1.74096,
 ALB, Albania,1934, Mar,8.29885,
 ALB, Albania,1934, Apr,12.3409,
 ALB, Albania,1934, May,16.1495,
 ALB, Albania,1934, Jun,18.113,
 ALB, Albania,1934, Jul,21.146,
 ALB, Albania,1934, Aug,21.2027,
 ALB, Albania,1934, Sep,17.9324,
 ALB, Albania,1934, Oct,12.7507,
 ALB, Albania,1934, Nov,9.36669,
 ALB, Albania,1934, Dec,5.77855,
 ALB, Albania,1935, Jan,0.34334,
 ALB, Albania,1935, Feb,2.68912,
 ALB, Albania,1935, Mar,4.63173,
 ALB, Albania,1935, Apr,9.96661,
 ALB, Albania,1935, May,13.9604,
 ALB, Albania,1935, Jun,19.6917,
 ALB, Albania,1935, Jul,20.8994,
 ALB, Albania,1935, Aug,20.966,
 ALB, Albania,1935, Sep,17.5342,
 ALB, Albania,1935, Oct,14.8241,
 ALB, Albania,1935, Nov,7.48257,
 ALB, Albania,1935, Dec,5.04187,
 ALB, Albania,1936, Jan,6.48191,
 ALB, Albania,1936, Feb,4.15523,
 ALB, Albania,1936, Mar,8.21892,
